model,size_mb,time_ms,accuracy_pct
Baseline,0.19804859161376953,0.035681970007135536,93.75
Pruned,0.10454273223876953,0.034874029998900366,91.7
Quantized,0.06328296661376953,0.05263151000253856,93.75
Distilled,0.007561683654785156,0.021964600001228973,94.05
